timestamp,open,high,low,close,volume
2024-10-14 00:00:00+05:30,2.61,2.61,2.47,2.47,181369
2024-10-15 00:00:00+05:30,2.34,2.59,2.34,2.4,424190
2024-10-16 00:00:00+05:30,2.49,2.52,2.35,2.42,386609
2024-10-17 00:00:00+05:30,2.52,2.52,2.32,2.36,392500
2024-10-18 00:00:00+05:30,2.32,2.41,2.25,2.33,82148
2024-10-21 00:00:00+05:30,2.44,2.44,2.21,2.24,85213
2024-10-22 00:00:00+05:30,2.16,2.34,2.16,2.18,50284
2024-10-23 00:00:00+05:30,2.27,2.28,2.1,2.21,61794
2024-10-24 00:00:00+05:30,2.11,2.27,2.11,2.15,211599
2024-10-25 00:00:00+05:30,2.15,2.15,2.04,2.09,205315
2024-10-28 00:00:00+05:30,2.09,2.17,2.05,2.05,69136
2024-10-29 00:00:00+05:30,2.05,2.15,2.04,2.05,14801
2024-10-30 00:00:00+05:30,2.05,2.14,2.05,2.1,30694
2024-10-31 00:00:00+05:30,2.15,2.2,2.09,2.13,53146
2024-11-01 00:00:00+05:30,2.14,2.23,2.14,2.22,33038
2024-11-04 00:00:00+05:30,2.33,2.33,2.17,2.29,111811
2024-11-05 00:00:00+05:30,2.39,2.39,2.27,2.31,175941
2024-11-06 00:00:00+05:30,2.3,2.39,2.23,2.34,105717
2024-11-07 00:00:00+05:30,2.39,2.45,2.31,2.37,105774
2024-11-08 00:00:00+05:30,2.37,2.4,2.31,2.36,80862
2024-11-11 00:00:00+05:30,2.45,2.45,2.3,2.35,39078
2024-11-12 00:00:00+05:30,2.38,2.42,2.33,2.34,29724
2024-11-13 00:00:00+05:30,2.44,2.44,2.27,2.29,50909
2024-11-14 00:00:00+05:30,2.38,2.4,2.29,2.3,55582
2024-11-18 00:00:00+05:30,2.41,2.41,2.23,2.29,38816
2024-11-19 00:00:00+05:30,2.34,2.4,2.31,2.37,88517
2024-11-21 00:00:00+05:30,2.36,2.36,2.25,2.28,118520
2024-11-22 00:00:00+05:30,2.34,2.38,2.28,2.29,84958
2024-11-25 00:00:00+05:30,2.28,2.35,2.25,2.27,33689
2024-11-26 00:00:00+05:30,2.27,2.38,2.27,2.36,100587
2024-11-27 00:00:00+05:30,2.36,2.36,2.27,2.29,62640
2024-11-28 00:00:00+05:30,2.37,2.37,2.3,2.33,18297
2024-11-29 00:00:00+05:30,2.33,2.33,2.24,2.3,42047
2024-12-02 00:00:00+05:30,2.32,2.32,2.25,2.29,47146
2024-12-03 00:00:00+05:30,2.3,2.31,2.19,2.24,179904
2024-12-04 00:00:00+05:30,2.27,2.3,2.19,2.25,30700
2024-12-05 00:00:00+05:30,2.3,2.3,2.2,2.27,47604
2024-12-06 00:00:00+05:30,2.29,2.32,2.22,2.26,58279
2024-12-09 00:00:00+05:30,2.22,2.34,2.22,2.29,98294
2024-12-10 00:00:00+05:30,2.38,2.38,2.26,2.27,111884
2024-12-11 00:00:00+05:30,2.31,2.35,2.25,2.29,57423
2024-12-12 00:00:00+05:30,2.35,2.35,2.2,2.32,118769
2024-12-13 00:00:00+05:30,2.32,2.43,2.22,2.35,95572
2024-12-16 00:00:00+05:30,2.45,2.45,2.31,2.33,53948
2024-12-17 00:00:00+05:30,2.38,2.38,2.22,2.33,43164
2024-12-18 00:00:00+05:30,2.38,2.38,2.23,2.28,77658
2024-12-19 00:00:00+05:30,2.28,2.37,2.23,2.29,15543
2024-12-20 00:00:00+05:30,2.18,2.33,2.18,2.29,66435
2024-12-23 00:00:00+05:30,2.35,2.35,2.29,2.3,13743
2024-12-24 00:00:00+05:30,2.3,2.35,2.25,2.3,19649
2024-12-26 00:00:00+05:30,2.3,2.35,2.23,2.25,104774
2024-12-27 00:00:00+05:30,2.3,2.34,2.13,2.18,209992
2024-12-30 00:00:00+05:30,2.28,2.28,2.07,2.11,210794
2024-12-31 00:00:00+05:30,2.18,2.18,2.0,2.01,219274
2025-01-01 00:00:00+05:30,2.03,2.07,1.9,1.97,280118
2025-01-02 00:00:00+05:30,2.05,2.06,2.03,2.04,74408
2025-01-03 00:00:00+05:30,2.07,2.13,2.01,2.1,42853
2025-01-06 00:00:00+05:30,2.12,2.17,2.0,2.15,179780
2025-01-07 00:00:00+05:30,2.15,2.19,2.06,2.17,109265
2025-01-08 00:00:00+05:30,2.24,2.24,2.06,2.12,186761
2025-01-09 00:00:00+05:30,2.17,2.2,2.04,2.1,135935
2025-01-10 00:00:00+05:30,2.17,2.19,1.99,2.01,300884
2025-01-13 00:00:00+05:30,2.11,2.11,1.9,2.08,136468
2025-01-14 00:00:00+05:30,2.12,2.18,1.97,2.06,235721
2025-01-15 00:00:00+05:30,2.08,2.08,1.95,1.99,219094
2025-01-16 00:00:00+05:30,2.0,2.08,1.95,2.0,77630
2025-01-17 00:00:00+05:30,2.0,2.03,1.9,2.01,31670
2025-01-20 00:00:00+05:30,2.05,2.06,1.96,2.05,24269
2025-01-21 00:00:00+05:30,2.05,2.1,2.0,2.05,52031
2025-01-22 00:00:00+05:30,2.06,2.1,2.0,2.08,9905
2025-01-23 00:00:00+05:30,2.0,2.08,1.97,2.0,70913
2025-01-24 00:00:00+05:30,2.04,2.07,1.97,1.99,27573
2025-01-27 00:00:00+05:30,2.03,2.03,1.92,1.96,21671
2025-01-28 00:00:00+05:30,2.0,2.0,1.9,1.97,58815
2025-01-29 00:00:00+05:30,2.05,2.05,1.9,1.95,72312
2025-01-30 00:00:00+05:30,1.96,1.98,1.9,1.96,37890
2025-01-31 00:00:00+05:30,1.96,1.99,1.93,1.96,36669
2025-02-01 00:00:00+05:30,1.97,2.02,1.92,1.99,15968
2025-02-03 00:00:00+05:30,2.02,2.02,1.93,1.98,51603
2025-02-04 00:00:00+05:30,1.98,2.02,1.88,1.94,85186
2025-02-05 00:00:00+05:30,1.97,2.0,1.89,1.91,102559
2025-02-06 00:00:00+05:30,1.92,1.99,1.85,1.94,78035
2025-02-07 00:00:00+05:30,1.99,1.99,1.88,1.93,22647
2025-02-10 00:00:00+05:30,1.97,1.98,1.86,1.93,121002
2025-02-11 00:00:00+05:30,1.94,1.97,1.87,1.91,29115
2025-02-12 00:00:00+05:30,1.92,1.92,1.86,1.92,25015
2025-02-13 00:00:00+05:30,1.92,1.97,1.83,1.94,78603
2025-02-14 00:00:00+05:30,1.95,1.95,1.88,1.88,25771
2025-02-17 00:00:00+05:30,1.92,1.92,1.8,1.85,63010
2025-02-18 00:00:00+05:30,1.9,1.9,1.78,1.82,39328
2025-02-19 00:00:00+05:30,1.85,1.87,1.81,1.81,63011
2025-02-20 00:00:00+05:30,1.8,1.83,1.8,1.8,41373
2025-02-21 00:00:00+05:30,1.86,1.89,1.75,1.81,34959
2025-02-24 00:00:00+05:30,1.9,1.9,1.75,1.8,27839
2025-02-25 00:00:00+05:30,1.8,1.85,1.77,1.79,20864
2025-02-27 00:00:00+05:30,1.87,1.87,1.75,1.76,56631
2025-02-28 00:00:00+05:30,1.8,1.8,1.7,1.73,64179
2025-03-03 00:00:00+05:30,1.7,1.78,1.64,1.68,58920
2025-03-04 00:00:00+05:30,1.7,1.72,1.65,1.68,33774
2025-03-05 00:00:00+05:30,1.68,1.71,1.59,1.64,124608
2025-03-06 00:00:00+05:30,1.69,1.69,1.64,1.64,43727
2025-03-07 00:00:00+05:30,1.61,1.69,1.61,1.63,61800
2025-03-10 00:00:00+05:30,1.63,1.63,1.58,1.6,45905
2025-03-11 00:00:00+05:30,1.56,1.6,1.52,1.53,97657
2025-03-12 00:00:00+05:30,1.55,1.58,1.46,1.52,72517
2025-03-13 00:00:00+05:30,1.53,1.59,1.51,1.55,33440
2025-03-17 00:00:00+05:30,1.56,1.6,1.49,1.49,47072
2025-03-18 00:00:00+05:30,1.52,1.52,1.42,1.47,76861
2025-03-19 00:00:00+05:30,1.5,1.52,1.47,1.5,72145
2025-03-20 00:00:00+05:30,1.48,1.5,1.42,1.42,158440
2025-03-21 00:00:00+05:30,1.39,1.44,1.34,1.38,121023
2025-03-24 00:00:00+05:30,1.43,1.44,1.38,1.42,177717
2025-03-25 00:00:00+05:30,1.43,1.45,1.37,1.38,40084
2025-03-26 00:00:00+05:30,1.35,1.39,1.31,1.31,174465
2025-03-27 00:00:00+05:30,1.26,1.37,1.26,1.3,1808430
2025-03-28 00:00:00+05:30,1.3,1.3,1.23,1.24,128616
2025-04-01 00:00:00+05:30,1.27,1.3,1.17,1.3,95027
2025-04-02 00:00:00+05:30,1.3,1.36,1.3,1.35,21192
2025-04-03 00:00:00+05:30,1.35,1.41,1.29,1.39,41357
2025-04-04 00:00:00+05:30,1.41,1.45,1.41,1.43,10598
2025-04-07 00:00:00+05:30,1.5,1.5,1.38,1.45,12598
2025-04-08 00:00:00+05:30,1.37,1.52,1.37,1.51,63845
2025-04-09 00:00:00+05:30,1.58,1.58,1.51,1.55,99805
2025-04-11 00:00:00+05:30,1.62,1.62,1.62,1.62,24727
2025-04-15 00:00:00+05:30,1.7,1.7,1.7,1.7,15569
2025-04-16 00:00:00+05:30,1.78,1.78,1.78,1.78,12758
2025-04-17 00:00:00+05:30,1.86,1.86,1.78,1.85,130500
2025-04-21 00:00:00+05:30,1.94,1.94,1.89,1.91,276342
2025-04-22 00:00:00+05:30,1.94,2.0,1.94,2.0,169166
2025-04-23 00:00:00+05:30,2.1,2.1,2.1,2.1,191527
2025-04-28 00:00:00+05:30,1.99,1.99,1.99,1.99,3185
2025-05-05 00:00:00+05:30,1.89,1.89,1.89,1.89,51452
2025-05-12 00:00:00+05:30,1.79,1.79,1.79,1.79,21682
2025-05-19 00:00:00+05:30,1.79,1.79,1.7,1.7,22091
2025-05-26 00:00:00+05:30,1.62,1.7,1.61,1.61,66441
2025-06-02 00:00:00+05:30,1.6,1.69,1.52,1.68,221570
2025-06-03 00:00:00+05:30,1.65,1.76,1.64,1.74,68165
2025-06-04 00:00:00+05:30,1.7,1.82,1.67,1.78,78678
2025-06-05 00:00:00+05:30,1.81,1.83,1.71,1.71,44410
2025-06-06 00:00:00+05:30,1.73,1.77,1.62,1.72,26573
2025-06-09 00:00:00+05:30,1.65,1.73,1.65,1.68,62097
2025-06-10 00:00:00+05:30,1.7,1.7,1.6,1.62,50064
2025-06-11 00:00:00+05:30,1.63,1.69,1.53,1.65,78220
2025-06-12 00:00:00+05:30,1.68,1.73,1.59,1.64,29297
2025-06-13 00:00:00+05:30,1.69,1.72,1.66,1.71,35018
2025-06-16 00:00:00+05:30,1.71,1.75,1.63,1.67,70366
2025-06-17 00:00:00+05:30,1.64,1.72,1.63,1.71,48179
2025-06-18 00:00:00+05:30,1.68,1.78,1.63,1.7,21340
2025-06-19 00:00:00+05:30,1.7,1.78,1.64,1.7,45853
2025-06-20 00:00:00+05:30,1.78,1.78,1.65,1.71,11106
2025-06-23 00:00:00+05:30,1.71,1.74,1.62,1.73,35979
2025-06-24 00:00:00+05:30,1.65,1.8,1.65,1.72,129330
2025-06-25 00:00:00+05:30,1.72,1.79,1.65,1.71,37914
2025-06-26 00:00:00+05:30,1.74,1.76,1.68,1.73,28869
2025-06-27 00:00:00+05:30,1.68,1.75,1.66,1.66,44383
2025-06-30 00:00:00+05:30,1.7,1.74,1.57,1.7,180626
2025-07-01 00:00:00+05:30,1.74,1.78,1.7,1.78,126598
2025-07-02 00:00:00+05:30,1.78,1.86,1.78,1.86,18642
2025-07-03 00:00:00+05:30,1.95,1.95,1.95,1.95,10541
2025-07-04 00:00:00+05:30,2.04,2.04,2.04,2.04,15940
2025-07-07 00:00:00+05:30,2.14,2.14,2.14,2.14,42647
2025-07-08 00:00:00+05:30,2.24,2.24,2.07,2.15,191240
2025-07-14 00:00:00+05:30,2.04,2.04,2.04,2.04,5659
2025-07-21 00:00:00+05:30,2.0,2.04,1.93,1.93,1562
2025-07-28 00:00:00+05:30,1.83,1.83,1.83,1.83,1742
2025-08-04 00:00:00+05:30,1.73,1.73,1.73,1.73,2443
2025-08-11 00:00:00+05:30,1.64,1.64,1.64,1.64,23366
2025-08-18 00:00:00+05:30,1.55,1.55,1.55,1.55,4327
